All,"Tất Cả"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} không được khuyến khích sử dụng trong chế độ môi trường sản phẩm để khai báo Base Unsecure URL / Base Secure URL. Chúng tôi khuyến cáo nên thay đổi giá trị này trong Magento của bạn <a href=""%1""> mục cấu hình</a>."
"One or more of the Cache Types are invalidated: %1. ","Một hoặc nhiều Cache Types không đúng: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Vui lòng vào <a href=""%1>Quản lý Bộ nhớ đệm</a> và làm mới."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Chúng tôi không thể đồng bộ hóa một hoặc nhiều tệp phương tiện. Vui lòng tham khảo tệp log để biết thêm chi tiết."
"Synchronization of media storages has been completed.","Đồng bộ hóa bộ nhớ phương tiện đã hoàn tất."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Máy chủ web của bạn bị thiết lập không đúng và cho phép truy cập trái phép vào những tệp nhạy cảm."
"System Messages:","Hệ thống tin nhắn:"
"Critical System Messages","Hệ thống tin nhắn quan trọng"
"Major System Messages","Hệ thống tin nhắn chính"
"System messages","Hệ thống tin nhắn"
Close,"Đóng lại"
"See All (","Xem Tất cả ("
" unread)"," chưa đọc)"
"Show Toolbar","Hiển thi thanh công cụ"
"Show List","Hiển thị Danh Sách"
"Use HTTPS to Get Feed","Dùng HTTPS Để Lấy Nguồn Cấp Dữ Liệu Feed"
"Update Frequency","Tần Suất Nâng Cấp"
"Last Update","Lần Nâng Cấp Cuối"
Severity,"Mức Độ Nghiêm Trọng"
"Date Added","Ngày Được Thêm"
Message,"Tin nhắn"
Actions,"Thao tác"
"Manage Shopping Cart","Quản lý giỏ hàng"
"Create Order","Tạo đơn hàng"
Back,"Trở lại"
"Add Products","Thêm sản phẩm"
"Update Items and Quantities","Cập nhật sản phẩm và số lượng"
"Are you sure you want to clear your cart?","Bạn có chắc chắn muốn xóa giỏ hàng?"
"Clear my shopping cart","Xóa giỏ hàng"
"Add selections to my cart","Thêm sản phẩm đã chọn vào giỏ hàng"
Cancel,"Hủy bỏ"
"Select products you want to buy","Chọn sản phẩm bạn muốn mua"
Product,"Sản phẩm"
Price,Giá
Quantity,"Số lượng"
"Products in the Comparison List (%1)","So sánh sản phẩm (%1)"
Products,"Các sản phẩm"
SKU,"MÃ SẢN PHẨM"
Apply,"Áp dụng"
Configure,"Cấu hình"
Customers,"Khách hàng"
"Shopping Cart","Giỏ mua hàng"
"You added %1 to your shopping cart.","Bạn đã thêm %1 vào giỏ mua hàng của bạn."
"The SKU was not found in the catalog.","Mã sản phẩm không được tìm thấy trong danh mục."
"We don't have as many of these as you want.","Chúng tôi không có đủ số lượng cho sản phẩm bạn muốn."
"You can't add this many to your cart.","Bạn không thể thêm số lượng sản phẩm này vào giỏ hàng."
"You need to choose options for your item.","Bạn cần chọn tùy chọn cho sản phẩm của bạn."
"We can't add the item to your cart.","Chúng tôi không thể thêm sản phẩm vào giỏ hàng."
"We can't find this wish list.","Chúng tôi không tìm thấy danh sách cần mua này."
"Yes, for Specified Customer Groups","Yeah, cho các nhóm khách hàng được chỉ định"
"Yes, for Everyone","Vâng, cho mọi người"
No,Không
"Apply Coupon Code","Dùng mã khuyến mãi"
"Remove Coupon Code","Bỏ mã khuyến mãi"
"The coupon code ""%1"" is not valid.","Mã giảm giá ""%1"" không hợp lệ."
"Shopping Cart Items","Giỏ hàng sản phẩm"
Qty,"Số lượng"
Subtotal,"Tổng phụ"
Discount,"Chiết khấu"
"Row Subtotal","Tổng theo hàng"
Action,"Thao tác"
"No ordered items","Không có sản phẩm nào được đặt"
"Total %1 product(s)","Tổng số sản phẩm %1"
Subtotal:,"Tổng phụ:"
"Please select","Vui lòng chọn"
"Move to Wish List","Chuyển đến Danh sách mong muốn"
"No item specified.","Không xác nhận sản phẩm."
"Are you sure you want to remove this item?","Bạn có chắc rằng bạn muốn xóa sản phẩm này?"
"Upload File","Tải lên tập tin"
Reset,"Thiết lập lại"
Item,"Sản phẩm"
"See price before order confirmation.","Xem giá trước khi xác nhận đơn hàng."
"What's this?","Đây là gì?"
"Incl. Tax","Đã bao gồm thuế"
"Excl. Tax","Chưa bao gồm thuế"
"Edit item parameters","Sửa thông số sản phẩm"
Edit,"Chỉnh sửa"
"Remove item","Xóa sản phẩm"
"Add to Cart","Thêm vào giỏ hàng"
Sku,"Mã sản phẩm"
File,Tệp
"Add Products By SKU","Thêm các sản phẩm bằng mã sản phẩm"
"Customer Groups","Nhóm khách hàng"
"Apply Coupon","Áp dụng các phiếu giảm giá"
"Display a Link to Loading a Spreadsheet","Hiển thị Đường Dẫn đến Tải một Bảng Tính"
"Link Text","Đường dẫn dạng ký tự chữ"
"The text of the link to the My Account &gt; Order by SKU page","Ký tự chữ của đường link dẫn đến Tài Khoản Của Tôi và Đơn Hàng bằng trang SKU"
"Load a list of SKUs","Tải danh sách các mã SKU"
"Please correct the data sent.","Xin vui lòng sửa các dữ liệu được gửi."
"Entity type model '%1' is not found","Mô hình thực thể loại '%1' không được tìm thấy"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Loại thực thể mẫu phải là ví dụ của \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Không có sẵn loại sản phẩm để xuất khẩu"
"Sales Rule","Quy tắc cho giảm giá"
"Index sales rule","Đánh chỉ mục Sales Rule"
"Related Search Terms","Cụm từ tìm kiếm có liên quan"
"Add New Search Term","Thêm cụm từ tìm kiếm mới"
"Successful! Test again?","Thành công! Kiểm tra một lần nữa?"
"Connection failed! Test again?","Kết nối thất bại! Kiểm tra một lần nữa?"
"When you enable this option your site may slow down.","Khi bạn kích hoạt tùy chọn này trang web của bạn có thể bị chậm."
"Enable Search Suggestions","Cho phép đề xuất tìm kiếm"
"Search Suggestions Count","Tính đề nghị Tìm kiếm"
"Show Results Count for Each Suggestion","Hiển thị kết quả tính cho từng đề nghị"
"Related search terms","Cụm từ tìm kiếm có liên quan"
"Did you mean","Ý bạn là"
"Search Query","Truy vấn tìm kiếm"
Store,"Cửa hàng"
Results,"Kết quả"
Uses,"Số Lần Sử Dụng"
"Redirect URL","Chuyển hướng URL"
"Suggested Term","Từ gợi ý"
Yes,Có
"RPC call failed, connection timed out after %time_out.","RPC kết nối không thành công, kết nối bị ngắt quãng sau khi %time_out."
"Message has been rejected: %1","Tin nhắn đã bị từ chối: %1"
"Subscription status","Tình trạng đăng ký"
"Sorry, there has been an error processing your request. Please try again later.","Xin lỗi, đã có một lỗi xử lý yêu cầu của bạn. Xin vui lòng thử lại sau."
"There was an error save new configuration value.","Đã có lỗi lưu giá trị cấu hình mới."
"--Please Select--","--Vui lòng chọn--"
"Cannot find predefined integration user!","Không thể tìm thấy người dùng được xác định trước hội nhập!"
TestMessage,"Kiểm tra tin nhắn"
"Apps and Games","Ứng dụng và trò chơi"
"Athletic/Sporting Goods","Thể thao/thể thao hàng hoá"
"Art and Design","Nghệ thuật và thiết kế"
Analytics,"Phân tích"
Configuration,"Cấu hình"
Done,"Đã thực hiện"
Retry,"Thử lại"
"'Action Details - #' .","'Hành động thông tin chi tiết - #'."
"%1 item(s) have been scheduled for update.""","%1 mã (s) đã được lên lịch cập nhật."""
"Bulk Actions Log","Hàng loạt hành động đăng nhập"
"%1 item(s) are currently being updated.","%1 mã (s) hiện đang được cập nhật."
"Task ""%1"": ","Nhiệm vụ ""%1"": "
"%1 item(s) have been scheduled for update.","%1 mã (s) đã được lên lịch cập nhật."
"%1 item(s) have been successfully updated.","%1 mã (s) đã được cập nhật thành công."
"%1 item(s) failed to update","%1 thất bại để cập nhật mã (s)"
Details,"Chi tiết"
"View Details","Xem chi tiết"
Dismiss,"Loại bỏ"
"Pending, in queue...","Đang chờ xử lý, trong hàng đợi..."
"%1 items selected for mass update","%1 cập nhật các mục đã được chọn"
", %1 successfully updated",", %1 cập nhật thành công"
", %1 failed to update",", %1 cập nhật thất bại"
"Something went wrong.","Đã xảy ra lỗi."
"Action Log","Nhật ký hành động"
"Bulk Actions","Hàng loạt hành động"
"Days Saved in Log","Ngày này được lưu trong nhật ký"
"Description of Operation","Mô tả hoạt động"
Summary,"Tóm tắt"
"Start Time","Thời Gian Bắt Đầu"
"To retry, select the items and click “Retry”.","Để thử lại, chọn các mục và nhấp vào ""Thử lại""."
Status,"Trạng thái"
"Meta Information","Thông tin meta"
Error,Lỗi
"Dismiss All Completed Tasks","Bỏ qua tất cả hoàn thành nhiệm vụ"
"Action Details - #","Hành động thông tin chi tiết - #"
"Number of Records Affected","Số lượng hồ sơ bị ảnh hưởng"
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Có vấn đề xảy ra khi dịch danh sách nguồn được cho phép. Bạn có thể tìm thấy nhiều thông tin trong exceptions log."
"You created the order.","Bạn đã đặt hàng."
"Order saving error: %1","Lỗi lưu đơn hàng: %1"
"Please choose a payment method.","Chọn một phương thức thanh toán."
"We can't process your order right now. Please try again later.","Chúng tôi không thể xử lý đơn hàng của bạn ngay bây giờ. Xin vui lòng thử lại sau."
"An error occurred on the server. Please try to place the order again.","Lỗi xuất hiện trên máy chủ. Hãy thử đặt hàng lại một lần nữa."
"Credit Card: xxxx-%1","Thẻ tín dụng: xxxx-%1"
"amount %1","số tiền %1"
failed.,"thất bại."
successful.,"thành công."
"Authorize.Net Transaction ID %1.","Authorize.Net ID giao dịch %1."
authorize,"ủy quyền"
"authorize and capture","Ủy quyền và chấp nhận giao dịch"
capture,"xác nhận giao dịch"
refund,"hoàn trả"
void,hủy
"Gateway error: %1","Lỗi cổng thanh toán: %1"
"Something went wrong in the payment gateway.","Có vấn để ở cổng thanh toán."
"Invalid amount for capture.","Số tiền không đúng cho xác nhận giao dịch."
"Payment capturing error.","Lỗi xác nhận giao dịch."
"Invalid transaction ID.","Giao dịch ID không đúng."
"Payment voiding error.","Lỗi hủy thanh toán."
"Invalid amount for refund.","Số tiền hoàn trả không đúng."
"Payment refunding error.","Lỗi thanh toán hoàn trả."
"The transaction was declined because the response hash validation failed.","Giao dịch bị từ chối bởi vì chuỗi xác nhận thất bại."
"This payment didn't work out because we can't find this order.","Thanh toán không được thực hiện do không tìm thấy đơn hàng tương ứng."
"There was a payment authorization error.","Lỗi ủy quyền thanh toán."
"Please enter a transaction ID to authorize this payment.","Vui lòng điền ID giao dịch để ủy quyền thanh toán."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Số tiền thanh toán và tiền đơn hàng khác nhau. Hãy kiểm tra lại."
"Authorize Only","Chỉ ủy quyền"
"Authorize and Capture","Ủy quyền và chấp nhận giao dịch"
"Unable to get transaction details. Try again later.","Không thể nhận được chi tiết giao dịch. Thử lại lần nữa."
"Credit Card Type","Loại thẻ tín dụng"
"Please Select","Vui lòng chọn"
"Credit Card Number","Số thẻ tín dụng"
"Expiration Date","Ngày hết hạn"
"Card Verification Number","Số xác minh thẻ"
"Fraud Detection ","Phát hiện gian lận "
"FDS Filter Action","Hoạt động lọc FDS"
"AVS Response","Phản hồi AVS Response"
"Card Code Response","Phản hồi mã thẻ"
"CAVV Response","Phản hồi CAVV"
"Fraud Filters","Bộ lọc gian lận"
"Place Order","Đặt hàng"
"Sorry, but something went wrong. Please contact the seller.","Xin lỗi, nhưng có gì đó đã đi sai. Xin vui lòng liên hệ với dịch vụ khách hàng của PayPal."
"Authorize.net Direct Post","Phương Thức Thanh Toán Direct Post của Authorize.net"
Enabled,"Cho phép"
"Payment Action","Hành động thanh toán"
Title,"Tiêu đề"
"API Login ID","ID Đăng Nhập qua API"
"Transaction Key","Mã Giao Dịch"
"Merchant MD5","Mã Khóa Merchant MD5"
"New Order Status","Trạng thái đơn hàng mới"
"Test Mode","Chế độ dùng thử"
"Gateway URL","Đường Dẫn URL của Cổng Thanh Toán"
"Transaction Details URL","Đường Dẫn đến Chi Tiết Giao Dịch"
"Accepted Currency","Tiền Tệ Được Chấp Nhận"
Debug,"Sửa Lỗi"
"Email Customer","Địa Chỉ Email Khách Hàng"
"Merchant's Email","Địa Chỉ Email Người Bán"
"Credit Card Types","Các Loại Thẻ Tín Dụng"
"Credit Card Verification","Xác Minh Thẻ Tín Dụng"
"Payment from Applicable Countries","Thanh Toán từ Các Nước Được Áp Dụng"
"Payment from Specific Countries","Thanh Toán từ Các Nước Cụ Thể"
"Minimum Order Total","Giá Trị Đơn Hàng Tối Thiểu"
"Maximum Order Total","Giá Trị Đơn Hàng Tối Đa"
"Sort Order","Thứ tự sắp xếp"
"Cannot place order.","Không thể đặt hàng."
"Unable to place order. Please try again later.","Không thể đặt hàng. Xin vui lòng thử lại sau."
Environment,"Môi Trường"
"Transaction has been declined. Please try again later.","Giao dịch đã bị từ chối, vui lòng thử lại sau."
options,"tùy chọn"
"Select all","Chọn tất cả"
"Invalid Form Key. Please refresh the page.","Form Key không hợp lệ. Xin vui lòng làm mới trang."
"You entered an invalid Secret Key. Please refresh the page.","Bạn điền không đúng khóa bí mật. Vui lòng tải lại trang."
"Cache Storage Management","Quản lý bộ nhớ đệm"
"Flush Magento Cache","Xóa bộ nhớ đệm Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Bộ nhớ đệm có thể chứa dữ liệu bổ sung. Bạn có chắc chắn muốn quét nó?"
"Flush Cache Storage","Xóa bộ nhớ đệm"
Invalidated,"Không có hiệu lực"
Orders,"Đơn hàng"
Amounts,"Số tiền"
Bestsellers,"Sản phẩm bán chạy nhất"
"Most Viewed Products","Sản phẩm được xem nhiều nhất"
"New Customers","Khách hàng mới"
Customer,"Khách hàng"
Guest,Khách
Items,"Sản phẩm"
Total,Tổng
"Lifetime Sales","Khoảng đời doanh số"
"Average Order","Đơn hàng trung bình"
Average,"Trung bình"
Views,"Lượng xem"
Revenue,"Doanh thu"
Tax,Thuế
Shipping,"Vận chuyển"
"Images (.gif, .jpg, .png)","Hình ảnh (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Phương tiện (.avi, .flv, .swf)"
"All Files","Tất cả các tệp"
"Reset to Default","Thiết lập về mặc định"
"All Store Views","Tất cả lượt xem cửa hàng"
"What is this?","Đây là gì?"
"Save Account","Lưu tài khoản"
"My Account","Tài khoản của tôi"
"Account Information","Thông tin tài khoản"
"User Name","Tên người dùng"
"First Name",Tên
"Last Name",Họ
"User Email","Email người dùng"
"New Password","Mật khẩu mới"
"Password Confirmation","Xác nhận mật khẩu"
"Interface Locale","Giao diện ngôn ngữ và khu vực"
"Current User Identity Verification","Xác minh danh tính người dùng hiện tại"
"Your Password","Mật khẩu của bạn"
"Save Cache Settings","Lưu thiết lập đệm"
"Catalog Rewrites","Viết lại danh mục "
Refresh,"Tải lại"
"Images Cache","Hình ảnh Cache"
Clear,Xóa
"Search Index","Tìm chỉ mục"
Rebuild,"Thiết lập lại"
"Inventory Stock Status","Tình trạng cổ phiếu tồn"
"Rebuild Catalog Index","Thiết lập lại danh mục chỉ mục"
"Rebuild Flat Catalog Category","Thiết lập lại danh mục mặt hàng phẳng"
"Rebuild Flat Catalog Product","Thiết lập lại danh mục sản phẩm phẳng"
"Cache Control","Kiểm soát bộ đệm"
"All Cache","Tất cả bộ đệm"
"No change","Không thay đổi"
Disable,"Vô hiệu hóa"
Enable,"Kích hoạt"
"Add Design Change","Thêm thay đổi thiết kế"
Delete,"Xóa bỏ"
Save,"Lưu lại"
"Edit Design Change","Sửa thay đổi thiết kế"
"New Store Design Change","Cửa hàng thay đổi thiết kế mới"
"General Settings","Thiết lập chung"
"-- Please Select --","-- Vui lòng chọn --"
"Custom Design","Thiết kế tùy chỉnh"
"Date From","Ngày bắt đầu"
"Date To","Ngày kết thúc"
"Design Change","Thay đổi thiết kế"
General,Chung
"Delete %1 '%2'","Xóa %1 '%2'"
"Delete %1","Xóa %1"
"Block Information","Thông tin khối nội dung"
"Backup Options","Tùy chọn sao chép"
"Create DB Backup","Tạo hệ thống sao lưu DB"
"Delete Store","Xóa cửa hàng"
"Delete Web Site","Xóa trang Web"
"Save Web Site","Lưu trang Web"
"Save Store","Lưu cửa hàng"
"Save Store View","Lưu cửa hàng"
"Delete Store View","Xóa cửa hàng"
"Edit Web Site","Sửa trang Web"
"New Web Site","Trang Web mới"
"Edit Store","Sửa cửa hàng"
"New Store","Cửa hàng mới"
"Edit Store View","Sửa thông tin cửa hàng"
"New Store View","Cửa hàng mới"
"Store Information","Thông tin cửa hàng"
"Web Site","Trang Web"
Name,Tên
Code,Mã
"Root Category","Mặt hàng gốc"
"Default Store View","Xem cửa hàng mặc định"
"Store View Information","Thông tin cửa hàng"
Disabled,"Vô hiệu hóa"
"Web Site Information","Thông tin trang Web"
"Default Store","Cửa hàng mặc định"
"Set as Default","Thiết lập về mặc định"
Stores,"Cửa hàng"
"Create Website","Tạo website"
"Create Store","Tạo cửa hàng"
"Create Store View","Tạo thông tin cửa hàng"
Home,"Trang chủ"
"Are you sure you want to do this?","Bạn có chắc rằng bạn muốn làm điều này?"
"Add New Image","Lưu hình ảnh mới"
"Export block for grid %1 is not defined","Xuất khẩu khối cho dạng lưới chưa được xác nhận"
"Reset Filter","Thiết lập lại bộ lọc"
Search,"Tìm kiếm"
Any,"Bất kỳ"
"All Countries","Tất cả quốc gia"
From,Từ
To,Đến
"Date selector","Chọn ngày"
"[ deleted ]","[ xóa ]"
"Select All","Chọn tất cả"
" [deleted]"," [xóa]"
"We couldn't find any records.","Không có kết quả tìm kiếm."
"Add New","Thêm sản phẩm mới"
"Invalid export type supplied for grid export block","Loại xuất khẩu được cung cấp cho khối xuất khẩu dạng lưới"
Export,Xuất
"Please correct the column format and try again.","Vui lòng sửa dạng cột và thử lại."
Submit,Gửi
"Unknown block type","Không rõ kiểu khối thông tin"
"Please correct the tab configuration and try again.","Vui lòng sửa tab thuộc tính và thử lại."
"You have logged out.","Bạn đã thoát tài khoản."
"The image cache was cleaned.","Hình ảnh bộ đệm đã bị xóa."
"An error occurred while clearing the image cache.","Xảy ra lỗi khi xóa ảnh bộ đệm."
"The JavaScript/CSS cache has been cleaned.","Bộ đệm JavaScript/CSS đã bị xóa."
"An error occurred while clearing the JavaScript/CSS cache.","Xảy ra lỗi khi xóa bộ đệm JavaScript/CSS."
"The static files cache has been cleaned.","Tệp bộ đệm tĩnh đã bị xóa."
"You flushed the cache storage.","Bạn đã xóa bộ nhớ đệm."
"The Magento cache storage has been flushed.","Bộ nhớ đệm Magento đã bị xóa."
"Cache Management","Quản lý bộ đệm"
"You can't change status of cache type(s) in production mode","Bạn không thể thay đổi trạng thái của bộ nhớ cache trong chế độ sản xuất"
"%1 cache type(s) disabled.","%1 loại bộ đệm đã bị vô hiệu hóa."
"An error occurred while disabling cache.","Xảy ra lỗi khi vô hiệu hóa bộ đệm."
"%1 cache type(s) enabled.","%1 bộ đệm đã được cho phép."
"An error occurred while enabling cache.","Xảy ra lỗi khi cho phép bộ đệm."
"%1 cache type(s) refreshed.","%1 loại bộ đệm đã được tải lại."
"An error occurred while refreshing cache.","Xảy ra lỗi khi tải lại bộ đệm."
Dashboard,"Bảng điều khiển"
"We updated lifetime statistic.","Chúng tôi đã nâng cấp số liệu thời gian."
"We can't refresh lifetime statistics.","Hiện tại không thể refresh được thống kê."
"invalid request","Yêu cầu không đúng"
"see error log for details","Xem log lỗi để biết thêm chi tiết"
"Service unavailable: %1","Dịch vụ không tồn tại: %1"
"Access Denied.","Truy cấp bị từ chối."
"You need more permissions to do this.","Bạn không đủ quyền để thao tác."
"No search modules were registered","Không có mô-đun tìm kiếm được đăng ký"
"Please make sure that all global admin search modules are installed and activated.","Vui lòng chắc chắn rằng tất cả quản trị mô-đun tìm kiếm được thiết lập và kích hoạt."
"You saved the account.","Bạn đã lưu tài khoản."
"An error occurred while saving account.","Xảy ra lỗi khi lưu tài khoản."
"You deleted the design change.","Bạn đã xóa thay đổi của thiết kế."
"Store Design","Cửa hàng thiết kế"
"Edit Store Design Change","Chỉnh sửa thay đổi thiết kế của cửa hàng"
"You saved the design change.","Bạn đã lưu thay đổi của thiết kế."
System,"Hệ thống"
"Manage Stores","Quản lý cửa hàng"
"The database was backed up.","Dữ liệu đã được sao lưu."
"We can't create a backup right now. Please try again later.","Hiện tại không thể tạo bản sao lưu ngay bây giờ. Xin vui lòng thử lại sau."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Xóa %1 sẽ không xóa được thông tin kết hợp với %1 (ví dụ danh mục, sản phẩm, v.v...), nhưng %1 sẽ không thể được phục hồi. Bạn nên tạo một bản sao trước khi xóa %1."
"Something went wrong. Please try again.","Xảy ra lỗi. Vui lòng thử lại."
"This store cannot be deleted.","Không thể xóa cửa hàng này."
"You deleted the store.","Bạn đã xóa của hàng."
"This store view cannot be deleted.","Không thể xóa cửa hàng."
"Store View","Xem cửa hàng"
"You deleted the store view.","Bạn đã xóa cửa hàng."
"This website cannot be deleted.","Không thể xóa trang web này."
"You deleted the website.","Bạn đã xóa trang Web."
"The website does not exist.","Trang web không tồn tại."
"Before modifying the website code please make sure it is not used in index.php.","Trước khi sửa lỗi mã website hãy chắc chắn rằng nó không được sử dụng trong index.php."
"The store does not exist","Cửa hàng không tồn tại"
"Before modifying the store view code please make sure it is not used in index.php.","Trước khi sửa lỗi mã cửa hàng , hãy chắc chắn rằng nó không được sử dụng trong index.php."
"New ","Mới "
"All Stores","Tất cả cửa hàng"
"You saved the website.","Bạn đã lưu trang web."
"You saved the store view.","Bạn đã lưu thông tin cửa hàng."
"You saved the store.","Bạn đã lưu cửa hàng."
"Something went wrong while saving. Please review the error log.","Xảy ra lỗi khi lưu. Vui lòng xem lại lỗi log."
"Authentication storage is incorrect.","Xác thực bộ nhớ không đúng."
"Last 24 Hours","24 giờ cuối"
"Last 7 Days","7 ngày cuối"
"Current Month","Tháng hiện tại"
Order,"Đơn hàng"
"Order #%1","Đơn hàng #%1"
"Sorry, you need permissions to view this content.","Xin lỗi, bạn cần cấp quyền để xem nội dung này."
"Next steps","Bước tiếp theo"
"If you think this is an error, try signing out and signing in again.","Nếu bạn nghĩ rằng đây là một lỗi, hãy thử đăng xuất và đăng nhập lại."
"Contact a system administrator or store owner to gain permissions.","Liên hệ với quản trị hệ thống hoặc chủ cửa hàng để được quyền truy cập."
"previous page","trang trước"
"Welcome, please sign in","Xin chào, vui lòng đăng ký"
Username,"Tên đăng nhập"
"user name","Tên người dùng"
Password,"Mật khẩu"
password,"mật khẩu"
"Sign in","Đăng nhập"
"No Data Found","Không tìm thấy tài liệu nào"
"Select Range:","Chọn khoảng:"
"Last Orders","Đơn hàng cuối"
"Last Search Terms","Từ khóa tìm kiếm cuối cùng"
"Top Search Terms","Từ khóa tìm kiếm nhiều nhất"
"There are no search keywords.","Không có từ khóa tìm kiếm."
"View Statistics For:","Thông tin số liệu cho:"
"All Websites","Tất cả trang Web"
"Reload Data","Tải lại tài liệu"
"Browse Files...","Xem theo tệp..."
"Magento Admin Panel","Mục quản trị Magento"
"Account Setting","Thiết lập tài khoản"
"Customer View","Thông tin tài khoản"
"Sign Out","Đăng xuất"
"About the calendar","Về lịch"
"Go Today","Đến ngày hôm nay"
Previous,Trước
Next,"Tiếp theo"
Time,"Thời gian"
Hour,Giờ
Minute,Phút
"JavaScript may be disabled in your browser.","JavaScript có thể bị hiệu hóa trong trình duyệt của bạn."
"To use this website you must first enable JavaScript in your browser.","Để dùng được trang Web, trước tiên, bạn phải kích hoạt JavaScript trong trình duyệt của bạn."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Đây chỉ là cửa hàng dùng thử. Bạn có thể xem theo và đặt đơn hàng, nhưng không có hoạt động nào được thực hiện."
"Report an Issue","Báo cáo sự cố"
"Stores Configuration","Thuộc tính của cửa hàng"
"Additional Cache Management","Quản lý bộ đệm bổ sung"
"Flush Catalog Images Cache","Xóa danh mục hình ảnh bộ đệm"
"Pregenerated product images files","Tệp ảnh sản phẩm đã được tạo"
"Flush JavaScript/CSS Cache","Xóa bộ đệm JavaScript/CSS"
"Flush Static Files Cache","Xóa thông số tệp của bộ đệm"
"Preprocessed view files and static files","Xử lý trước thông tin tệp và tệp tĩnh"
Catalog,"Danh mục"
"JavaScript/CSS Cache","Bộ đệm JavaScript/CSS"
"No records found.","Không có hồ sơ tìm thấy."
Images,"Hình ảnh"
"Big Image","Hình ảnh lớn"
Thumbnail,"Hình ảnh thu nhỏ"
"Additional Settings","Thiết lập bổ sung"
"records found","bản ghi đã được tìm thấy"
selected,"Đã chọn"
"per page","mỗi trang"
"Previous page","Trang trước"
"of %1","của %1"
"Next page","Trang tiếp theo"
"Export to:","Xuất khẩu đến:"
"Mass Actions","Thao tác hàng loạt"
"Unselect All","Bỏ chọn tất cả"
"Select Visible","Chọn hiển thị"
"Unselect Visible","Bỏ chọn hiển thị"
"Changes have been made to this section that have not been saved.","Thay đổi của phần này không được lưu lại."
"This tab contains invalid data. Please resolve this before saving.","Tab này chứa dữ liệu sai. Vui lòng xử lý trước khi lưu lại."
"The information in this tab has been changed.","Thông tin trong tab này đã được thay đổi."
Loading...,"Đang tải..."
"We could not detect a size.","Chúng tôi không xác định một kích thước."
"Please confirm scope switching. All data that hasn't been saved will be lost.","Xin vui lòng xác nhận lại việc di chuyển. Các dữ liệu chưa lưu sẽ bị mất."
"Global Search","Tìm kiếm toàn cầu"
Content,"Nội dung"
Elements,"Thành phần"
Design,"Thiết kế"
Schedule,"Lịch trình"
Settings,"Cài đặt"
Attributes,"Thuộc tính"
"Other Settings","Các cài đặt khác"
Tools,"Công cụ"
Currency,"Ngoại tệ"
Communications,"Thông tin liên lạc"
Services,"Các Dịch Vụ"
Advanced,"Nâng Cao"
"Disable Modules Output","Tắt Dữ Liệu Ra của Module"
"Store Email Addresses","Địa Chỉ Email của Cửa Hàng"
